,Gender Comp
0,i don't think there should be gender specific academic or skill competitions. everyone should be able to compete against each other and may the best person/team win.
1,"i'm against it. i think academic and mental competitions should be integrated. it sends a message to the ""dominant"" group i guess, that their skills couldn't compete."
2,"it's not terrible. working only in these spheres will probably limit some people, but having an arena with less worry of prejudice to dip into could be good for the same reasons i listed before. note, i'm talking about things like this for genders who have historically been excluded from these skills or activities. having a women-only nursing event or a men-only coding event just reinforces existing exclusionary sentiment."
3,negative opinions. we should be including women not excluding men. or else we're no better!
4,"i think these competitions should be more inclusive, focused on skills rather than gender or race. the groups/communities provide the support needed to thrive in these competitions."
5,"my initial reaction is that i feel less positive about gender specific competitions. in my academic career, i never considered my performance against a particular gender, but against the entire population. there are very likely valid, logical reasons to hold gender specific competitions, but i would fear some may use a gender qualifier to ""discount"" the competition quality."
6,"seeing as i helped found the female case competition, my answer here is predictable: i fully support these endeavors. in the beginning of my college career, i did not support these competitions. i thought it was counter productive to what society tries to foster, because in the real workplace, the goal is a diverse team, not a one-gender team like my competition seemingly promoted. however, my opinion changed when i actually looked at the statistics - 1 out of 4 case competition participants were women, while the rest male when our school has about a 50/50 ratio. i did some research into why women weren't participating - it had to do with investment of time vs. reward, and the ""confidence gap"" (http://www.forbes.com/sites/margiewarrell/2016/01/20/gender-confidence-gap/#2ac3ba4a4f72) that women experience. by creating a safer zone for women to experience case competitions, we've seen participation rise in normal case competitions due to this introductory experience"
7,demoralizing
8,same as above
9,"that would be interesting- but i do think any competitions should best prepare people for the working world. in the future, it would be rare that i competed on an all women's engagement against only women. the best ideas come from groups that have a wide range of skills and expertise."
10,"i think the pr/audience value (look how awesome all these women are) is higher than the value for the participants. if you're competing, you don't realy care if you're winning against boys or girls."
11,"i think they should combine the genders. while these are not discriminatory, they do not represent a real workplace"
12,it's condescending and i think counter-productive. when it comes to competitions why would you send the message that women can only compete with women? it's also not helping men and women learn how to collaborate or win/lose to each other. the world does not have gender-specific anything- it's the wrong approach. interest groups are support networks- they're different.
13,a gender specific competition seems like it would isolate one gender and present a scenario different from the male-and-female dynamic of the real world or workplace.
14,"seems to me that women can compete in science fairs as well as men, why have a separate one?"
15,excellent - these competitions raise awareness for the problem of gender discrimination and actively try to solve it by promoting engagement in these disciplines.
16,probably would not participate in one
17,"athletics is the only place i find it right when it comes to skills/academics. if it's not a physical competition where genetically, skill sets will be different, then genders should all be on the same playing field."
18,"i see the value, it'd just be nice if someone not of the gender can help out in someway such as planning or promoting it"
19,"i think these opportunities make sense as what i call a gateway opportunity. if women are underrepresented in computer science / hackathon competitions (which they are), providing an opportunity such as a women-specific competition makes sense to encourage them to participate in more competitions like this in the future."
20,oooh said it above.
21,don't see the benefit or value
22,"i see no purpose for gender specific competitions. i do support those for younger generations, like empowering young females in stem careers because of the lack of involvement."
23,seems exclusive
24,disagree. it should be a level-playing field since that translates to real-world competition.
25,not into it
26,"i honestly don't think that these are necessary and only further divide the female/male bias. if we continue these gender specific competitions, then we propagate the idea that they are not on equal footing for competing."
27,"love them! great opportunity for minority groups to showcase their talent! sometimes when an especially talented or gifted person participates in events, their talent is slapped with labels like ""they only won because they are black"" or ""they only got chosen for the diversity card."" diversity targeted events remove that label and show others the power of the group as a whole!"
28,i think they are great as a practice for the coed versions. a place for constructive criticism from female mentors in the field. final competitons need to be coed.
29,go for it. stem is a place where women are minorities. need more women in stem education amd careers!
30,i've never participated in one and would not be interested in doing so. this does not sound beneficial to myself or to the particular gender.
31,
32,good opportunity to showcase the achievements of one population. should be included in a variety of opportunities and not be the sole activity.
33,"again, why not? maybe we can figure out a way for projects to be judged anonymously. otherwise, unconscious (and sometimes conscious) biases will always play a part"
34,"this one i'm not as comfortable with, because it's not about the shared experience, it feels more like excluding the other half of the population from an opportunity. now, if the women in tech group were to sponsor an open science fair that asked for entries that are maybe focused on something relating to women (i dunno, effective ways to handle menstruation, better breast pump, sustainable tech for women in impoverished countries....) that would be awesome, because even male participants could participate in breaking down barriers and we need allies!"
35,"i mean it allows women or men to work in groups that are only their gender which might be a valuable skill. also, women in mixed gender competitions might be at a disadvantage if judges notice and judge male characteristics more highly than female. i don't think about it much, i guess."
